robot selector_59_q-table;world_nr;tick_nr
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;1899
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;1999
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2099
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2199
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2299
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2399
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2499
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2599
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2699
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2799
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2899
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;2999
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;3099
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;3199
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;3299
{frozenset({('Goal Phase', False), ('Phase 3', False), ('Phase 4', False), ('Phase 2', False)}): [-97.0, 0, 0], frozenset({('Goal Phase', False), ('Phase 4', False), ('Phase 3', False), ('Phase 2', True)}): [-252.5, 0, 0], frozenset({('Phase 3', True), ('Goal Phase', False), ('Phase 4', False), ('Phase 2', True)}): [0, 0, 0]};1;3399
